,actual,test
449,340.76,
450,324.1,
451,324.01004,
452,322.82,
453,324.87,
454,306.04,
455,288.74,
456,289.1,
457,297.49,
458,295.94,
459,308.29,
460,299.1,
461,292.32,
462,292.86996,
463,284.11,
464,288.98,
465,295.93,
466,294.12,
467,291.68002,
468,287.08,
469,287.33,
470,285.96,
471,282.62,
472,276.44,
473,261.31,
474,256.08,
475,256.69,
476,264.74,
477,310.72,
478,293.18,
479,283.07,
480,284.32,
481,299.86,
482,286.39,
483,279.69,
484,275.19,
485,285.73,
486,281.59,
487,274.47,
488,273.68,
489,270.0,
490,266.01,
491,271.45,
492,265.49,
493,261.87,
494,263.03,
495,260.48,
496,272.36,
497,270.23,
498,267.53,
499,272.39,
500,283.42,
501,283.06,
502,276.16,
503,275.85,
504,281.51,
505,295.5,
506,294.06,
507,302.68002,
508,314.49,
509,321.18,
510,313.29,
511,310.26,
512,319.14,
513,316.56,
514,319.07,
515,331.92004,
516,356.859,
517,358.97,
518,340.55,
519,328.18,
520,355.683,
521,356.352,
522,351.02,
523,359.768,
524,378.945,
525,378.92,
526,389.91,
527,406.953,
528,413.788,
529,404.878,
530,406.667,
531,403.25998,
532,383.779,
533,392.373,
534,398.091,
535,400.50998,
536,405.275,
537,420.464,
538,439.375,
539,442.079,
540,424.03,
541,423.35,
542,433.85,
543,429.233,
544,421.873,
545,430.657,
546,424.479,431.6188
547,437.93,425.67337
548,456.048,437.04794
549,469.898,455.64404
550,476.666,467.53452
551,510.097,474.91144
552,549.864,506.05505
553,554.995,543.693
554,557.093,547.9727
555,610.653,550.32635
556,675.39294,600.4822
557,596.145,659.6383
558,633.71,585.78613
559,632.593,618.10956
560,598.186,623.93085
561,585.7801,580.74274
562,627.82697,575.9301
563,629.791,613.67737
564,631.166,614.95703
565,664.745,615.1217
566,654.895,649.5847
567,679.368,638.9823
568,667.31,659.2112
569,655.66,651.60126
570,665.38,636.4507
571,665.411,648.0429
572,712.653,646.6503
573,754.604,689.32806
574,806.248,730.3122
575,803.203,775.13293
576,889.595,773.8333
577,922.298,848.94
578,968.434,880.6597
579,909.705,913.4752
580,888.663,863.0561
581,889.488,835.38434
582,939.772,840.246
583,839.0251,881.1669
584,829.932,793.03894
585,806.62,781.514
586,760.863,769.99963
587,816.092,719.3469
588,858.69,776.9999
589,943.0,819.14374
590,924.273,892.1044
591,890.2,879.5074
592,928.645,840.7068
593,945.67,878.1238
594,934.228,889.411
595,949.37494,875.9213
596,996.591,892.81793
597,1043.159,934.8373
598,1127.036,974.62494
599,1134.724,1049.1716
600,1117.963,1053.6719
601,1095.413,1029.8606
602,1113.337,1008.51086
603,1148.688,1019.6855
604,1205.434,1052.3287
605,1232.92,1102.6577
606,1192.966,1126.806
607,1215.81,1085.3092
608,1270.977,1102.7499
609,1342.024,1152.1777
610,1369.886,1210.2432
611,1390.553,1233.6423
612,1360.46,1244.6884
613,1374.68,1211.4613
614,1423.2601,1216.8772
615,1480.89,1261.2874
616,1512.5798,1308.3099
617,1529.36,1333.8239
618,1572.75,1341.81
619,1759.01,1373.2966
620,1772.14,1532.311
621,1666.43,1530.646
622,1739.0,1413.0189
623,1639.97,1476.0608
624,1654.05,1378.0406
625,1744.82,1383.8198
626,1675.9501,1487.3259
627,1649.2,1413.0842
